File Name,Relative Path,Extension,Size (Bytes),Lines of Code
VenueDashboardHome.tsx,src/components/dashboard/venue/VenueDashboardHome.tsx,.tsx,39532,908
VenueDashboardLayout.tsx,src/components/dashboard/venue/VenueDashboardLayout.tsx,.tsx,16502,329
VenueMatrixCalendar.tsx,src/components/dashboard/venue/VenueMatrixCalendar.tsx,.tsx,10409,282
VenueMatrixDashboard.tsx,src/components/dashboard/venue/VenueMatrixDashboard.tsx,.tsx,14736,306
BookingsModule.tsx,src/components/dashboard/venue-owner/BookingsModule.tsx,.tsx,3150,88
LeadsPipelineModule.tsx,src/components/dashboard/venue-owner/LeadsPipelineModule.tsx,.tsx,8174,209
OverviewModule.tsx,src/components/dashboard/venue-owner/OverviewModule.tsx,.tsx,2278,83
QuickActionsModule.tsx,src/components/dashboard/venue-owner/QuickActionsModule.tsx,.tsx,9473,225
RevenueSummaryModule.tsx,src/components/dashboard/venue-owner/RevenueSummaryModule.tsx,.tsx,4357,99
VenueManagementModule.tsx,src/components/dashboard/venue-owner/VenueManagementModule.tsx,.tsx,5955,136
VenueOwnerOverview.tsx,src/components/dashboard/venue-owner/VenueOwnerOverview.tsx,.tsx,5533,121
WorkflowPipeline.tsx,src/components/dashboard/WorkflowPipeline.tsx,.tsx,2485,40
DecoratorBenefits.tsx,src/components/decorators/DecoratorBenefits.tsx,.tsx,2922,67
DecoratorCategories.tsx,src/components/decorators/DecoratorCategories.tsx,.tsx,3355,87
DecoratorCostEstimator.tsx,src/components/decorators/DecoratorCostEstimator.tsx,.tsx,15945,336
DecoratorCTA.tsx,src/components/decorators/DecoratorCTA.tsx,.tsx,3832,68
DecoratorFeatured.tsx,src/components/decorators/DecoratorFeatured.tsx,.tsx,10392,247
DecoratorHero.tsx,src/components/decorators/DecoratorHero.tsx,.tsx,5494,125
ErrorBoundary.tsx,src/components/ErrorBoundary.tsx,.tsx,557,13
EventManagerBenefits.tsx,src/components/event-managers/EventManagerBenefits.tsx,.tsx,2907,67
EventManagerCategories.tsx,src/components/event-managers/EventManagerCategories.tsx,.tsx,3322,87
EventManagerCostEstimator.tsx,src/components/event-managers/EventManagerCostEstimator.tsx,.tsx,17210,369
